baseline,family,seed,overall_score,certificate_success,hidden_regression_pass_rate,valid_preservation_rate,overblocking,hardcoded_patch,invalid_json,audit_flags
random_patch,stale_retrieval,0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,3,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,5,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,8,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,stale_retrieval,9,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,3,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow;wrong_root_cause
random_patch,missing_verification,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow;wrong_root_cause
random_patch,missing_verification,6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,8,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,missing_verification,9,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,3,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,5,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,8,0.16,0.0,0.0,0.0,0.0,0.0,0.0,certificate_before_verifier;wrong_root_cause
random_patch,permission_scope,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow;wrong_root_cause
explanation_only,stale_retrieval,0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,6,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,8,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,stale_retrieval,9,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,6,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,8,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,missing_verification,9,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,6,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,8,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
explanation_only,permission_scope,9,0.35,0.0,0.0,0.0,0.0,0.0,0.0,
